"height","age"
685,82
1202,232
1072,147
667,132
1441,190
1439,167
628,86
1328,223
964,173
1045,199
1047,112
736,161
1252,170
678,106
900,148
1341,181
1461,169
722,96
937,143
573,64
1149,149
879,140
1319,194
647,108
839,125
977,124
645,129
847,146
1436,242
1494,189
510,101
659,56
1285,179
1485,188
997,94
1105,211
1314,181
774,109
1142,162
644,106
1443,256
785,160
610,62
656,64
1403,173
1259,158
1430,263
833,125
978,126
1271,176
506,103
513,83
1148,164
1381,188
760,92
1268,241
1242,210
1433,265
1078,151
1168,166
1224,158
1333,194
1086,175
744,146
1304,210
909,148
862,160
931,168
704,108
561,65
756,144
788,122
539,124
671,90
669,74
1199,193
766,98
1301,211
871,88
1028,111
822,141
1118,176
523,100
868,80
683,133
1284,223
1388,234
795,139
1169,228
810,85
1389,194
861,139
845,107
1008,153
920,157
1487,207
886,149
584,101
604,70
896,109
